Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Kelci Walkden;Australia;85% Dark Bars;15/02/2021;189,00 €;131;272
Jan Morforth;USA;Mint Chip Choco;15/02/2021;259,00 €;162;1135
Curtice Advani;USA;Drinking Coco;15/02/2021;588,00 €;125;54
Andria Kimpton;Australia;70% Dark Bites;15/02/2021;9 975,00 €;21;205
Dennison Crosswaite;Australia;After Nines;15/02/2021;8 120,00 €;173;123
Andria Kimpton;Canada;Orange Choco;15/02/2021;238,00 €;2;50
Rafaelita Blaksland;UK;Orange Choco;15/02/2021;7 210,00 €;36;601
Gigi Bohling;India;Smooth Sliky Salty;15/02/2021;77,00 €;68;5
Ches Bonnell;UK;Organic Choco Syrup;15/02/2021;2 604,00 €;107;258
Rafaelita Blaksland;USA;Mint Chip Choco;15/02/2021;3 871,00 €;461;964
Dennison Crosswaite;UK;70% Dark Bites;15/02/2021;4 599,00 €;209;368
Kaine Padly;UK;99% Dark & Pure;15/02/2021;3 696,00 €;32;484
Wilone O'Kielt;Canada;White Choc;15/02/2021;3 052,00 €;12;124
Kelci Walkden;India;Orange Choco;15/02/2021;5 908,00 €;101;62
Rafaelita Blaksland;UK;Drinking Coco;15/02/2021;7 049,00 €;267;171
Husein Augar;Australia;Spicy Special Slims;16/02/2021;2 135,00 €;182;59
Andria Kimpton;Canada;Baker's Choco Chips;16/02/2021;7 182,00 €;228;85
Dennison Crosswaite;India;Smooth Sliky Salty;16/02/2021;3 850,00 €;44;235
Madelene Upcott;USA;Baker's Choco Chips;16/02/2021;6 363,00 €;123;152
Marney O'Breen;Canada;After Nines;16/02/2021;6 531,00 €;294;232
Dennison Crosswaite;USA;White Choc;16/02/2021;3 192,00 €;415;123
Rafaelita Blaksland;Australia;Spicy Special Slims;16/02/2021;2 163,00 €;173;279
Gunar Cockshoot;New Zealand;Drinking Coco;16/02/2021;4 851,00 €;91;63
Husein Augar;Australia;After Nines;16/02/2021;3 381,00 €;361;535
Wilone O'Kielt;India;Eclairs;17/02/2021;210,00 €;91;21
Brien Boise;Australia;Drinking Coco;17/02/2021;1 939,00 €;289;255
Oby Sorrel;UK;Fruit & Nut Bars;17/02/2021;4 487,00 €;131;79
Jan Morforth;UK;Raspberry Choco;17/02/2021;3 808,00 €;135;112
Oby Sorrel;Canada;99% Dark & Pure;17/02/2021;16 569,00 €;129;279
Dotty Strutley;Australia;Baker's Choco Chips;17/02/2021;4 172,00 €;128;300
Curtice Advani;Canada;70% Dark Bites;17/02/2021;1 393,00 €;28;63
Barr Faughny;UK;Baker's Choco Chips;17/02/2021;4 830,00 €;293;96
Karlen McCaffrey;Australia;Baker's Choco Chips;17/02/2021;5 698,00 €;146;209
Dennison Crosswaite;New Zealand;85% Dark Bars;17/02/2021;2 891,00 €;200;488
Kaine Padly;Australia;After Nines;17/02/2021;1 218,00 €;324;160
Marney O'Breen;UK;Spicy Special Slims;17/02/2021;504,00 €;131;106
Brien Boise;Canada;70% Dark Bites;17/02/2021;1 148,00 €;29;37
Jan Morforth;UK;50% Dark Bites;17/02/2021;7 490,00 €;124;295
Husein Augar;India;Orange Choco;17/02/2021;6 391,00 €;163;7
Karlen McCaffrey;India;50% Dark Bites;17/02/2021;6 160,00 €;227;275
Madelene Upcott;Canada;Caramel Stuffed Bars;17/02/2021;3 668,00 €;84;137
Rafaelita Blaksland;Australia;Smooth Sliky Salty;17/02/2021;532,00 €;42;173
Jan Morforth;New Zealand;Choco Coated Almonds;17/02/2021;10 542,00 €;123;65
Wilone O'Kielt;UK;50% Dark Bites;17/02/2021;8 316,00 €;137;244
Andria Kimpton;New Zealand;Mint Chip Choco;17/02/2021;3 101,00 €;7;199
Karlen McCaffrey;India;Orange Choco;17/02/2021;7 259,00 €;285;287
Kelci Walkden;USA;Raspberry Choco;17/02/2021;3 010,00 €;164;83
Kaine Padly;India;Eclairs;17/02/2021;11 522,00 €;84;683
Husein Augar;Australia;Smooth Sliky Salty;17/02/2021;3 325,00 €;159;84
Gigi Bohling;India;White Choc;17/02/2021;224,00 €;317;173
Gigi Bohling;USA;White Choc;17/02/2021;3 031,00 €;225;241
Kaine Padly;Australia;Mint Chip Choco;17/02/2021;6 076,00 €;132;71
Jan Morforth;UK;After Nines;18/02/2021;2 891,00 €;157;32
Wilone O'Kielt;USA;Choco Coated Almonds;18/02/2021;6 965,00 €;126;156
Rafaelita Blaksland;Australia;Orange Choco;18/02/2021;2 023,00 €;62;374
Husein Augar;USA;99% Dark & Pure;18/02/2021;4 669,00 €;111;206
Madelene Upcott;India;Raspberry Choco;18/02/2021;931,00 €;22;34
Andria Kimpton;New Zealand;85% Dark Bars;18/02/2021;5 572,00 €;229;394
Ches Bonnell;Canada;Organic Choco Syrup;19/02/2021;1 022,00 €;240;215
Curtice Advani;Canada;Manuka Honey Choco;19/02/2021;238,00 €;117;147
Rafaelita Blaksland;India;85% Dark Bars;19/02/2021;5 607,00 €;14;501
Madelene Upcott;Canada;85% Dark Bars;19/02/2021;147,00 €;107;264
Dotty Strutley;USA;Orange Choco;19/02/2021;7 651,00 €;15;44
Barr Faughny;Canada;Organic Choco Syrup;19/02/2021;511,00 €;273;10
Gunar Cockshoot;Australia;Caramel Stuffed Bars;19/02/2021;10 045,00 €;105;118
Ches Bonnell;USA;Drinking Coco;19/02/2021;5 992,00 €;257;83
Dennison Crosswaite;Australia;Milk Bars;19/02/2021;9 520,00 €;309;110
Gigi Bohling;UK;Peanut Butter Cubes;19/02/2021;1 995,00 €;80;191
Kelci Walkden;Australia;Peanut Butter Cubes;19/02/2021;3 073,00 €;12;220
Barr Faughny;USA;85% Dark Bars;19/02/2021;287,00 €;73;251
Dennison Crosswaite;Canada;Eclairs;19/02/2021;1 092,00 €;362;264
Gunar Cockshoot;India;After Nines;19/02/2021;1 456,00 €;110;180
Andria Kimpton;New Zealand;Choco Coated Almonds;19/02/2021;2 653,00 €;291;285
Curtice Advani;USA;Peanut Butter Cubes;19/02/2021;6 020,00 €;94;182
Dennison Crosswaite;Canada;After Nines;19/02/2021;1 463,00 €;264;236
Barr Faughny;USA;Organic Choco Syrup;19/02/2021;2 233,00 €;88;23
Dennison Crosswaite;Canada;Smooth Sliky Salty;19/02/2021;3 857,00 €;52;108
Curtice Advani;USA;After Nines;19/02/2021;3 479,00 €;95;152
Husein Augar;Australia;Baker's Choco Chips;19/02/2021;9 023,00 €;178;123
Kelci Walkden;Canada;Caramel Stuffed Bars;19/02/2021;3 766,00 €;54;102
Madelene Upcott;India;After Nines;19/02/2021;7 154,00 €;22;651
Brien Boise;Canada;Smooth Sliky Salty;19/02/2021;3 591,00 €;288;19
Ches Bonnell;Canada;Mint Chip Choco;19/02/2021;3 801,00 €;121;182
Wilone O'Kielt;USA;Orange Choco;22/02/2021;2 695,00 €;55;192
Karlen McCaffrey;India;99% Dark & Pure;22/02/2021;5 859,00 €;98;205
Andria Kimpton;Canada;Caramel Stuffed Bars;22/02/2021;3 570,00 €;187;67
Husein Augar;Canada;Caramel Stuffed Bars;22/02/2021;9 114,00 €;108;453
Gunar Cockshoot;India;Drinking Coco;22/02/2021;4 515,00 €;50;438
Gigi Bohling;Canada;Raspberry Choco;22/02/2021;1 589,00 €;19;165
Gunar Cockshoot;UK;After Nines;22/02/2021;3 934,00 €;156;217
Husein Augar;Australia;Caramel Stuffed Bars;22/02/2021;6 867,00 €;25;259
Barr Faughny;India;Organic Choco Syrup;22/02/2021;2 471,00 €;353;952
Marney O'Breen;UK;Smooth Sliky Salty;22/02/2021;6 496,00 €;12;29
Andria Kimpton;India;Drinking Coco;22/02/2021;1 792,00 €;130;143
Brien Boise;Australia;Almond Choco;23/02/2021;6 629,00 €;171;354
Dotty Strutley;Australia;Orange Choco;23/02/2021;3 346,00 €;260;281
Oby Sorrel;New Zealand;Mint Chip Choco;23/02/2021;3 423,00 €;99;100
Jan Morforth;Australia;70% Dark Bites;23/02/2021;1 932,00 €;4;522
Ches Bonnell;Canada;Peanut Butter Cubes;23/02/2021;5 670,00 €;379;38
Curtice Advani;USA;85% Dark Bars;23/02/2021;8 855,00 €;30;211
Kelci Walkden;New Zealand;Manuka Honey Choco;23/02/2021;6 818,00 €;20;178
Andria Kimpton;Canada;White Choc;23/02/2021;5 481,00 €;212;371
Oby Sorrel;Canada;Organic Choco Syrup;23/02/2021;3 682,00 €;9;816
Gunar Cockshoot;New Zealand;Mint Chip Choco;24/02/2021;8 218,00 €;181;381
Andria Kimpton;UK;Drinking Coco;24/02/2021;189,00 €;202;446
Barr Faughny;Australia;White Choc;24/02/2021;6 125,00 €;221;271
Dotty Strutley;USA;Almond Choco;24/02/2021;3 122,00 €;13;579
Dennison Crosswaite;New Zealand;Orange Choco;24/02/2021;2 744,00 €;2;103
Brien Boise;India;Smooth Sliky Salty;24/02/2021;2 324,00 €;81;244
Curtice Advani;India;Drinking Coco;24/02/2021;3 528,00 €;179;213
Rafaelita Blaksland;India;Milk Bars;24/02/2021;4 767,00 €;147;326
Wilone O'Kielt;Canada;Eclairs;24/02/2021;1 498,00 €;173;101
Kelci Walkden;UK;Eclairs;24/02/2021;2 912,00 €;280;134
Ches Bonnell;USA;Caramel Stuffed Bars;24/02/2021;175,00 €;123;40
Jan Morforth;New Zealand;70% Dark Bites;24/02/2021;1 232,00 €;149;264
Wilone O'Kielt;New Zealand;Drinking Coco;24/02/2021;1 337,00 €;164;9
Kaine Padly;USA;White Choc;24/02/2021;1 855,00 €;221;22
Dotty Strutley;UK;Eclairs;24/02/2021;2 660,00 €;171;217
Andria Kimpton;New Zealand;99% Dark & Pure;24/02/2021;4 396,00 €;55;95
Barr Faughny;USA;Fruit & Nut Bars;24/02/2021;1 631,00 €;182;150
Kelci Walkden;New Zealand;Drinking Coco;24/02/2021;1 414,00 €;349;33
Brien Boise;UK;85% Dark Bars;24/02/2021;1 855,00 €;132;318
Gigi Bohling;USA;70% Dark Bites;24/02/2021;7 882,00 €;13;20
Marney O'Breen;USA;Manuka Honey Choco;24/02/2021;4 515,00 €;13;209
Madelene Upcott;Canada;Raspberry Choco;24/02/2021;1 008,00 €;73;118
Husein Augar;New Zealand;Mint Chip Choco;24/02/2021;889,00 €;82;386
Gunar Cockshoot;USA;Baker's Choco Chips;24/02/2021;3 283,00 €;43;127
Gunar Cockshoot;USA;50% Dark Bites;24/02/2021;5 236,00 €;53;86
Oby Sorrel;Australia;Spicy Special Slims;24/02/2021;2 198,00 €;29;290
Ches Bonnell;Canada;Manuka Honey Choco;24/02/2021;10 248,00 €;72;180
Gigi Bohling;Australia;Drinking Coco;24/02/2021;7 574,00 €;31;19
Gunar Cockshoot;New Zealand;Spicy Special Slims;24/02/2021;574,00 €;103;518
Rafaelita Blaksland;USA;Manuka Honey Choco;24/02/2021;2 961,00 €;37;87
Brien Boise;UK;Milk Bars;24/02/2021;2 527,00 €;33;896
Beverie Moffet;India;Baker's Choco Chips;24/02/2021;1 820,00 €;70;486
Gunar Cockshoot;USA;Caramel Stuffed Bars;24/02/2021;3 122,00 €;270;296
Marney O'Breen;India;70% Dark Bites;25/02/2021;8 197,00 €;182;250
Oby Sorrel;India;Choco Coated Almonds;25/02/2021;5 586,00 €;83;301
Dotty Strutley;New Zealand;Fruit & Nut Bars;25/02/2021;7 553,00 €;259;369
Jan Morforth;UK;Manuka Honey Choco;25/02/2021;6 552,00 €;95;103
Karlen McCaffrey;Canada;Drinking Coco;25/02/2021;11 291,00 €;294;135
Andria Kimpton;New Zealand;70% Dark Bites;25/02/2021;2 212,00 €;173;477
Madelene Upcott;Canada;Fruit & Nut Bars;25/02/2021;798,00 €;33;383
Jan Morforth;New Zealand;Raspberry Choco;25/02/2021;8 183,00 €;103;345
Curtice Advani;Canada;99% Dark & Pure;25/02/2021;10 948,00 €;297;381
Oby Sorrel;New Zealand;Choco Coated Almonds;25/02/2021;5 278,00 €;328;105
Ches Bonnell;UK;Milk Bars;25/02/2021;9 534,00 €;109;238
Andria Kimpton;Australia;Spicy Special Slims;25/02/2021;1 904,00 €;16;2
Madelene Upcott;New Zealand;After Nines;25/02/2021;2 002,00 €;198;82
Kaine Padly;UK;Caramel Stuffed Bars;25/02/2021;2 317,00 €;273;125
Husein Augar;UK;Drinking Coco;25/02/2021;1 939,00 €;177;43
Dennison Crosswaite;USA;Peanut Butter Cubes;25/02/2021;4 599,00 €;403;25
Beverie Moffet;USA;Peanut Butter Cubes;25/02/2021;7 581,00 €;188;309
Kelci Walkden;UK;Caramel Stuffed Bars;25/02/2021;1 673,00 €;89;371
Kaine Padly;USA;85% Dark Bars;25/02/2021;1 099,00 €;51;118
Gunar Cockshoot;USA;70% Dark Bites;25/02/2021;3 899,00 €;153;64
Karlen McCaffrey;USA;50% Dark Bites;25/02/2021;3 962,00 €;22;41
Karlen McCaffrey;New Zealand;Organic Choco Syrup;25/02/2021;448,00 €;5;98
Madelene Upcott;UK;Organic Choco Syrup;25/02/2021;231,00 €;224;348
Dennison Crosswaite;UK;Raspberry Choco;25/02/2021;3 682,00 €;119;146
Kaine Padly;Canada;After Nines;25/02/2021;6 083,00 €;152;761
Dennison Crosswaite;UK;After Nines;26/02/2021;2 268,00 €;72;288
Husein Augar;India;Milk Bars;26/02/2021;1 799,00 €;16;156
Gigi Bohling;Canada;Organic Choco Syrup;26/02/2021;434,00 €;180;466
Ches Bonnell;India;Smooth Sliky Salty;26/02/2021;371,00 €;238;347
Beverie Moffet;India;70% Dark Bites;26/02/2021;5 936,00 €;45;24
Dennison Crosswaite;USA;70% Dark Bites;26/02/2021;931,00 €;46;147
Brien Boise;UK;Fruit & Nut Bars;26/02/2021;7 056,00 €;58;48
Kelci Walkden;Australia;Milk Bars;01/03/2021;2 506,00 €;34;425
Oby Sorrel;USA;White Choc;01/03/2021;10 136,00 €;118;634
Rafaelita Blaksland;Canada;Smooth Sliky Salty;01/03/2021;763,00 €;143;35
Curtice Advani;Canada;Eclairs;01/03/2021;1 834,00 €;142;230
Madelene Upcott;USA;Milk Bars;01/03/2021;1 806,00 €;243;129
Marney O'Breen;Canada;Organic Choco Syrup;01/03/2021;63,00 €;5;7
Dotty Strutley;UK;Caramel Stuffed Bars;01/03/2021;1 617,00 €;366;65
Oby Sorrel;Canada;Raspberry Choco;01/03/2021;8 099,00 €;202;675
Dennison Crosswaite;India;White Choc;01/03/2021;3 150,00 €;277;210
Jan Morforth;USA;Milk Bars;01/03/2021;8 281,00 €;349;553
Barr Faughny;Canada;Orange Choco;01/03/2021;1 582,00 €;59;144
Madelene Upcott;New Zealand;Orange Choco;01/03/2021;3 192,00 €;11;246
Jan Morforth;USA;Orange Choco;01/03/2021;511,00 €;189;40
Barr Faughny;Australia;Smooth Sliky Salty;01/03/2021;1 344,00 €;170;62
Gigi Bohling;Canada;99% Dark & Pure;01/03/2021;6 272,00 €;341;286
Gigi Bohling;India;Manuka Honey Choco;01/03/2021;889,00 €;170;69
Gunar Cockshoot;Australia;After Nines;01/03/2021;1 708,00 €;240;214
Gigi Bohling;USA;Manuka Honey Choco;01/03/2021;3 948,00 €;415;359
Jan Morforth;New Zealand;Caramel Stuffed Bars;01/03/2021;903,00 €;228;35
Karlen McCaffrey;USA;After Nines;01/03/2021;917,00 €;177;131
Curtice Advani;Canada;Milk Bars;01/03/2021;8 470,00 €;130;565
Kelci Walkden;USA;70% Dark Bites;01/03/2021;2 961,00 €;192;212
Curtice Advani;Australia;Drinking Coco;01/03/2021;7 469,00 €;42;467
Beverie Moffet;UK;Baker's Choco Chips;02/03/2021;1 379,00 €;2;115
Dotty Strutley;New Zealand;Drinking Coco;02/03/2021;1 358,00 €;191;76
Jan Morforth;USA;70% Dark Bites;02/03/2021;6 615,00 €;160;441
Kelci Walkden;USA;99% Dark & Pure;02/03/2021;273,00 €;36;13
Beverie Moffet;UK;85% Dark Bars;02/03/2021;1 932,00 €;17;121
Ches Bonnell;UK;Orange Choco;02/03/2021;2 688,00 €;321;224
Kelci Walkden;Australia;Raspberry Choco;02/03/2021;5 572,00 €;242;558
Karlen McCaffrey;New Zealand;Spicy Special Slims;02/03/2021;5 033,00 €;66;630
Andria Kimpton;India;Caramel Stuffed Bars;03/03/2021;1 456,00 €;32;56
Brien Boise;New Zealand;Choco Coated Almonds;03/03/2021;490,00 €;94;19
Dotty Strutley;India;70% Dark Bites;03/03/2021;15 589,00 €;43;1114
Rafaelita Blaksland;USA;Smooth Sliky Salty;03/03/2021;8 225,00 €;141;374
Dotty Strutley;Canada;Eclairs;03/03/2021;3 731,00 €;142;374
Andria Kimpton;New Zealand;Fruit & Nut Bars;03/03/2021;8 883,00 €;372;387
Karlen McCaffrey;New Zealand;Almond Choco;04/03/2021;7 091,00 €;419;546
Wilone O'Kielt;Canada;85% Dark Bars;04/03/2021;4 935,00 €;35;309
Dennison Crosswaite;UK;Milk Bars;04/03/2021;1 253,00 €;211;97
Barr Faughny;Canada;Peanut Butter Cubes;04/03/2021;4 053,00 €;269;163
Marney O'Breen;Canada;Manuka Honey Choco;04/03/2021;896,00 €;296;82
Dotty Strutley;UK;99% Dark & Pure;04/03/2021;4 130,00 €;16;180
Oby Sorrel;Canada;Fruit & Nut Bars;04/03/2021;1 722,00 €;198;69
Gigi Bohling;New Zealand;Peanut Butter Cubes;04/03/2021;11 886,00 €;12;517
Jan Morforth;UK;Orange Choco;04/03/2021;4 179,00 €;341;349
Rafaelita Blaksland;Canada;Manuka Honey Choco;04/03/2021;7 238,00 €;416;604
Oby Sorrel;Canada;70% Dark Bites;04/03/2021;3 185,00 €;253;213
Andria Kimpton;Australia;Baker's Choco Chips;04/03/2021;7 126,00 €;142;594
Marney O'Breen;Australia;85% Dark Bars;04/03/2021;3 031,00 €;68;190
Kaine Padly;USA;Orange Choco;04/03/2021;1 813,00 €;62;165
Madelene Upcott;USA;Almond Choco;04/03/2021;4 585,00 €;68;328
Dennison Crosswaite;Australia;Mint Chip Choco;04/03/2021;8 050,00 €;25;448
Rafaelita Blaksland;Australia;Choco Coated Almonds;04/03/2021;7 182,00 €;218;300
Dennison Crosswaite;UK;Caramel Stuffed Bars;04/03/2021;5 544,00 €;69;222
Brien Boise;UK;Orange Choco;04/03/2021;7 840,00 €;421;654
Kelci Walkden;Canada;99% Dark & Pure;04/03/2021;2 009,00 €;159;88
Marney O'Breen;India;Fruit & Nut Bars;05/03/2021;385,00 €;100;17
Gigi Bohling;UK;Smooth Sliky Salty;05/03/2021;182,00 €;25;9
Dotty Strutley;New Zealand;Baker's Choco Chips;05/03/2021;406,00 €;67;32
Kaine Padly;Canada;70% Dark Bites;05/03/2021;2 359,00 €;129;182
Curtice Advani;New Zealand;Milk Bars;05/03/2021;6 503,00 €;277;465
Jan Morforth;UK;70% Dark Bites;05/03/2021;7 112,00 €;14;508
Jan Morforth;USA;Drinking Coco;05/03/2021;2 555,00 €;15;142
Barr Faughny;India;50% Dark Bites;08/03/2021;105,00 €;120;7
Kelci Walkden;UK;Milk Bars;08/03/2021;11 046,00 €;50;737
Kaine Padly;Canada;50% Dark Bites;08/03/2021;3 766,00 €;131;236
Husein Augar;Canada;Eclairs;08/03/2021;2 310,00 €;8;289
Andria Kimpton;Australia;Milk Bars;08/03/2021;10 752,00 €;22;717
Karlen McCaffrey;New Zealand;Eclairs;08/03/2021;2 814,00 €;16;352
Brien Boise;Canada;99% Dark & Pure;08/03/2021;1 106,00 €;143;51
Ches Bonnell;Canada;After Nines;08/03/2021;483,00 €;329;69
Dennison Crosswaite;USA;Choco Coated Almonds;08/03/2021;686,00 €;120;29
Rafaelita Blaksland;New Zealand;Drinking Coco;08/03/2021;763,00 €;241;45
Ches Bonnell;USA;Baker's Choco Chips;08/03/2021;126,00 €;150;11
Madelene Upcott;Canada;Orange Choco;08/03/2021;3 787,00 €;57;292
Madelene Upcott;UK;Caramel Stuffed Bars;08/03/2021;1 939,00 €;94;75
Husein Augar;UK;Choco Coated Almonds;08/03/2021;14,00 €;148;1
Andria Kimpton;USA;70% Dark Bites;08/03/2021;4 627,00 €;75;309
Curtice Advani;USA;Milk Bars;08/03/2021;4 214,00 €;4;325
Gunar Cockshoot;Canada;Raspberry Choco;08/03/2021;4 655,00 €;114;424
Karlen McCaffrey;UK;Spicy Special Slims;08/03/2021;2 002,00 €;88;334
Curtice Advani;Australia;70% Dark Bites;08/03/2021;8 351,00 €;29;557
Brien Boise;USA;Spicy Special Slims;08/03/2021;3 234,00 €;87;539
Marney O'Breen;Canada;Smooth Sliky Salty;08/03/2021;6 608,00 €;20;288
Kaine Padly;USA;Mint Chip Choco;08/03/2021;8 708,00 €;280;484
Dotty Strutley;Australia;Peanut Butter Cubes;08/03/2021;9 310,00 €;367;388
Curtice Advani;Canada;Almond Choco;08/03/2021;1 141,00 €;137;88
Oby Sorrel;Australia;Choco Coated Almonds;09/03/2021;3 640,00 €;33;146
Ches Bonnell;UK;50% Dark Bites;09/03/2021;5 859,00 €;113;367
Kelci Walkden;Australia;50% Dark Bites;09/03/2021;266,00 €;226;17
Barr Faughny;Australia;Raspberry Choco;09/03/2021;2 044,00 €;137;205
Gunar Cockshoot;New Zealand;99% Dark & Pure;09/03/2021;7 189,00 €;53;343
Rafaelita Blaksland;New Zealand;Organic Choco Syrup;09/03/2021;378,00 €;259;38
Karlen McCaffrey;USA;70% Dark Bites;09/03/2021;798,00 €;80;54
Husein Augar;USA;85% Dark Bars;09/03/2021;1 316,00 €;339;88
Oby Sorrel;UK;85% Dark Bars;09/03/2021;7 861,00 €;155;492
Beverie Moffet;Canada;Eclairs;09/03/2021;3 234,00 €;167;405
Ches Bonnell;India;Peanut Butter Cubes;09/03/2021;2 205,00 €;200;92
Gunar Cockshoot;UK;Spicy Special Slims;09/03/2021;11 984,00 €;231;1712
Karlen McCaffrey;UK;85% Dark Bars;09/03/2021;3 787,00 €;124;237
Oby Sorrel;New Zealand;Raspberry Choco;10/03/2021;6 265,00 €;76;627
Gunar Cockshoot;USA;99% Dark & Pure;10/03/2021;3 017,00 €;38;132
Beverie Moffet;Australia;Peanut Butter Cubes;10/03/2021;490,00 €;129;21
Kelci Walkden;India;Mint Chip Choco;10/03/2021;13 650,00 €;89;759
Beverie Moffet;New Zealand;Smooth Sliky Salty;10/03/2021;4 284,00 €;150;187
Oby Sorrel;Australia;85% Dark Bars;10/03/2021;1 141,00 €;197;82
Madelene Upcott;Canada;Drinking Coco;10/03/2021;1 757,00 €;316;104
Kelci Walkden;Australia;White Choc;10/03/2021;7 308,00 €;404;488
Ches Bonnell;Canada;Orange Choco;10/03/2021;2 765,00 €;23;252
Gunar Cockshoot;UK;Fruit & Nut Bars;10/03/2021;812,00 €;44;36
Andria Kimpton;New Zealand;White Choc;10/03/2021;6 468,00 €;46;432
Husein Augar;India;White Choc;10/03/2021;4 592,00 €;297;287
Kelci Walkden;UK;50% Dark Bites;10/03/2021;1 260,00 €;216;84
Brien Boise;India;85% Dark Bars;10/03/2021;9 569,00 €;176;599
Wilone O'Kielt;Canada;50% Dark Bites;10/03/2021;8 659,00 €;168;542
Dotty Strutley;USA;White Choc;10/03/2021;308,00 €;306;20
Dennison Crosswaite;Canada;Raspberry Choco;10/03/2021;1 358,00 €;233;136
Jan Morforth;Australia;White Choc;10/03/2021;4 193,00 €;307;300
Madelene Upcott;USA;70% Dark Bites;10/03/2021;7 007,00 €;83;501
Barr Faughny;New Zealand;Choco Coated Almonds;10/03/2021;714,00 €;200;29
Madelene Upcott;New Zealand;White Choc;10/03/2021;1 078,00 €;13;77
Curtice Advani;Australia;Fruit & Nut Bars;10/03/2021;2 156,00 €;234;90
Brien Boise;New Zealand;Baker's Choco Chips;10/03/2021;3 171,00 €;261;244
Madelene Upcott;USA;Orange Choco;10/03/2021;5 089,00 €;567;463
Ches Bonnell;India;Eclairs;10/03/2021;11 081,00 €;42;1109
Rafaelita Blaksland;USA;Eclairs;10/03/2021;4 872,00 €;180;542
Ches Bonnell;Australia;50% Dark Bites;10/03/2021;8 575,00 €;193;613
Dotty Strutley;UK;Choco Coated Almonds;10/03/2021;455,00 €;136;18
Dotty Strutley;India;85% Dark Bars;10/03/2021;280,00 €;52;18
Rafaelita Blaksland;India;Almond Choco;10/03/2021;4 781,00 €;176;399
Husein Augar;Canada;Choco Coated Almonds;10/03/2021;1 561,00 €;206;61
Husein Augar;UK;Raspberry Choco;10/03/2021;161,00 €;339;15
Brien Boise;India;70% Dark Bites;10/03/2021;10 486,00 €;193;700
Gigi Bohling;Canada;Peanut Butter Cubes;10/03/2021;896,00 €;81;36
Gunar Cockshoot;New Zealand;Organic Choco Syrup;11/03/2021;952,00 €;105;96
Kaine Padly;India;After Nines;11/03/2021;3 332,00 €;204;556
Barr Faughny;UK;50% Dark Bites;11/03/2021;784,00 €;55;56
Brien Boise;USA;Peanut Butter Cubes;11/03/2021;91,00 €;21;4
Oby Sorrel;UK;Spicy Special Slims;11/03/2021;1 267,00 €;383;181
Madelene Upcott;Australia;Baker's Choco Chips;11/03/2021;7 644,00 €;44;637
Husein Augar;USA;Mint Chip Choco;11/03/2021;2 856,00 €;180;159
Jan Morforth;Canada;70% Dark Bites;11/03/2021;4 627,00 €;200;331
Rafaelita Blaksland;UK;Choco Coated Almonds;11/03/2021;9 968,00 €;269;399
Andria Kimpton;Australia;Organic Choco Syrup;11/03/2021;1 092,00 €;4;100
Brien Boise;Australia;Smooth Sliky Salty;11/03/2021;350,00 €;185;17
Curtice Advani;India;70% Dark Bites;11/03/2021;2 527,00 €;32;169
Beverie Moffet;Canada;Baker's Choco Chips;11/03/2021;4 711,00 €;148;337
Wilone O'Kielt;New Zealand;Baker's Choco Chips;11/03/2021;4 242,00 €;76;327
Ches Bonnell;Canada;70% Dark Bites;11/03/2021;917,00 €;274;71
Rafaelita Blaksland;India;Orange Choco;12/03/2021;2 401,00 €;192;201
Marney O'Breen;New Zealand;50% Dark Bites;12/03/2021;2 401,00 €;214;161
Ches Bonnell;UK;Caramel Stuffed Bars;12/03/2021;3 626,00 €;97;135
Marney O'Breen;New Zealand;Orange Choco;12/03/2021;1 477,00 €;17;114
Oby Sorrel;USA;Peanut Butter Cubes;12/03/2021;2 205,00 €;15;92
Andria Kimpton;UK;Organic Choco Syrup;12/03/2021;3 612,00 €;130;402
Barr Faughny;UK;Fruit & Nut Bars;12/03/2021;3 682,00 €;143;148
Gigi Bohling;India;50% Dark Bites;12/03/2021;8 484,00 €;11;606
Andria Kimpton;UK;Smooth Sliky Salty;12/03/2021;1 400,00 €;370;64
Gigi Bohling;India;Eclairs;12/03/2021;5 327,00 €;2;533
Brien Boise;USA;Mint Chip Choco;12/03/2021;2 513,00 €;127;140
Dotty Strutley;Canada;Caramel Stuffed Bars;12/03/2021;1 393,00 €;56;52
Gunar Cockshoot;UK;99% Dark & Pure;12/03/2021;2 940,00 €;239;134
Husein Augar;India;Eclairs;12/03/2021;4 067,00 €;26;509
Husein Augar;Canada;Spicy Special Slims;12/03/2021;259,00 €;29;37
Rafaelita Blaksland;USA;Orange Choco;12/03/2021;8 974,00 €;215;691
Husein Augar;USA;Raspberry Choco;12/03/2021;2 625,00 €;68;239
Jan Morforth;New Zealand;Smooth Sliky Salty;12/03/2021;2 751,00 €;159;120
Karlen McCaffrey;Australia;70% Dark Bites;12/03/2021;9 324,00 €;267;718
Dotty Strutley;UK;After Nines;12/03/2021;4 137,00 €;102;690
Rafaelita Blaksland;USA;Peanut Butter Cubes;12/03/2021;7 140,00 €;63;286
Oby Sorrel;Australia;Caramel Stuffed Bars;12/03/2021;2 121,00 €;11;85
Beverie Moffet;USA;99% Dark & Pure;12/03/2021;6 755,00 €;120;294
Barr Faughny;New Zealand;After Nines;12/03/2021;5 474,00 €;20;782
Wilone O'Kielt;UK;99% Dark & Pure;12/03/2021;161,00 €;155;7
